"fecha";"carga.estimada";"carga.liminf";"carga.lisup"
"2020-03-01";9;3;17
"2020-03-02";10;5;17
"2020-03-03";12;5;20
"2020-03-04";13;7;20
"2020-03-05";15;8;22
"2020-03-06";18;11;27
"2020-03-07";21;12;30
"2020-03-08";28;18;39
"2020-03-09";37;25;50
"2020-03-10";50;35;65
"2020-03-11";56;38;73
"2020-03-12";73;55;94
"2020-03-13";106;89;130
"2020-03-14";141;111;168
"2020-03-15";170;142;198
"2020-03-16";229;201;272
"2020-03-17";230;196;264
"2020-03-18";247;209;290
"2020-03-19";264;229;303
"2020-03-20";286;245;326
"2020-03-21";278;239;317
"2020-03-22";275;237;314
"2020-03-23";309;266;354
"2020-03-24";305;257;341
"2020-03-25";307;265;355
"2020-03-26";313;273;355
"2020-03-27";315;277;360
"2020-03-28";313;271;347
"2020-03-29";308;269;345
"2020-03-30";373;332;413
"2020-03-31";381;343;427
"2020-04-01";475;415;527
"2020-04-02";450;402;503
"2020-04-03";470;422;521
"2020-04-04";515;461;563
"2020-04-05";518;464;579
"2020-04-06";608;550;674
"2020-04-07";592;538;644
"2020-04-08";593;534;645
"2020-04-09";607;555;668
"2020-04-10";658;599;726
"2020-04-11";622;562;687
"2020-04-12";688;632;758
"2020-04-13";971;895;1063
"2020-04-14";1011;939;1095
"2020-04-15";1108;1029;1181
"2020-04-16";1068;998;1150
"2020-04-17";1106;1025;1187
"2020-04-18";1087;1002;1178
"2020-04-19";1054;972;1141
"2020-04-20";1640;1527;1749
"2020-04-21";1420;1331;1513
"2020-04-22";1439;1341;1543
"2020-04-23";1457;1357;1567
"2020-04-24";1621;1504;1730
"2020-04-25";1689;1593;1795
"2020-04-26";1692;1591;1807
"2020-04-27";2576;2446;2703
"2020-04-28";2442;2311;2549
"2020-04-29";2524;2379;2660
"2020-04-30";3035;2901;3178
"2020-05-01";3790;3620;3968
"2020-05-02";3852;3699;4004
"2020-05-03";3883;3726;4033
"2020-05-04";5580;5367;5789
"2020-05-05";5099;4916;5259
"2020-05-06";4056;3921;4216
"2020-05-07";4259;4088;4408
"2020-05-08";4734;4561;4943
"2020-05-09";5010;4820;5207
"2020-05-10";5690;5495;5896
"2020-05-11";6280;6097;6510
"2020-05-12";5616;5407;5816
"2020-05-13";5179;5003;5356
"2020-05-14";5061;4868;5267
"2020-05-15";6430;6193;6619
"2020-05-16";5926;5723;6123
"2020-05-17";5934;5747;6144
"2020-05-18";7385;7147;7608
"2020-05-19";6165;5993;6355
"2020-05-20";7099;6870;7347
"2020-05-21";6077;5865;6275
"2020-05-22";6864;6609;7095
"2020-05-23";6683;6480;6881
"2020-05-24";6328;6096;6549
"2020-05-25";8155;7944;8367
"2020-05-26";6228;6036;6442
"2020-05-27";6259;6055;6453
"2020-05-28";6425;6191;6620
"2020-05-29";6566;6318;6769
"2020-05-30";6432;6271;6665
"2020-05-31";6169;5979;6366
"2020-06-01";9352;9122;9593
"2020-06-02";6481;6253;6697
"2020-06-03";6111;5925;6296
"2020-06-04";6142;5931;6372
"2020-06-05";7153;6943;7354
"2020-06-06";6692;6487;6928
"2020-06-07";6182;5971;6436
"2020-06-08";7781;7539;8023
"2020-06-09";6257;6029;6486
"2020-06-10";6534;6333;6762
"2020-06-11";5743;5502;5955
"2020-06-12";6370;6165;6573
"2020-06-13";6081;5892;6276
"2020-06-14";5786;5587;5977
"2020-06-15";7123;6903;7347
"2020-06-16";5818;5642;5995
"2020-06-17";5373;5190;5580
"2020-06-18";5440;5251;5625
"2020-06-19";5475;5295;5640
"2020-06-20";5646;5450;5825
"2020-06-21";5123;4937;5343
"2020-06-22";5823;5577;6029
"2020-06-23";5144;4939;5348
"2020-06-24";4743;4545;4918
"2020-06-25";4487;4302;4674
"2020-06-26";4469;4249;4653
"2020-06-27";4134;3985;4300
"2020-06-28";4453;4220;4683
"2020-06-29";4956;4667;5212
"2020-06-30";5064;4826;5316
"2020-07-01";5221;4963;5483
"2020-07-02";4108;3912;4331
"2020-07-03";4144;3975;4350
"2020-07-04";4133;3929;4325
"2020-07-05";3986;3800;4215
"2020-07-06";4340;4122;4566
"2020-07-07";3708;3506;3934
"2020-07-08";3369;3167;3616
"2020-07-09";3240;3083;3433
"2020-07-10";3367;3186;3547
"2020-07-11";3091;2899;3270
"2020-07-12";3257;2911;3603
"2020-07-13";3185;2890;3512
"2020-07-14";2714;2414;2992
"2020-07-15";2258;2009;2479
"2020-07-16";2167;1946;2475
"2020-07-17";2286;1952;2702
