"fecha";"region";"carga.estimada";"carga.liminf";"carga.lisup"
"2020-04-01";15;10;4;16
"2020-04-02";15;10;4;19
"2020-04-03";15;11;4;18
"2020-04-04";15;14;6;24
"2020-04-05";15;12;5;21
"2020-04-06";15;11;4;20
"2020-04-07";15;10;3;18
"2020-04-08";15;11;4;17
"2020-04-09";15;8;3;15
"2020-04-10";15;8;2;16
"2020-04-11";15;7;2;12
"2020-04-12";15;7;2;14
"2020-04-13";15;8;2;13
"2020-04-14";15;6;1;12
"2020-04-15";15;7;2;14
"2020-04-16";15;8;2;14
"2020-04-17";15;10;3;17
"2020-04-18";15;10;3;19
"2020-04-19";15;10;3;19
"2020-04-20";15;12;5;22
"2020-04-21";15;10;4;18
"2020-04-22";15;10;5;20
"2020-04-23";15;7;2;13
"2020-04-24";15;7;2;14
"2020-04-25";15;7;2;13
"2020-04-26";15;7;3;14
"2020-04-27";15;7;1;13
"2020-04-28";15;8;2;14
"2020-04-29";15;8;3;15
"2020-04-30";15;7;2;12
"2020-05-01";15;6;2;12
"2020-05-02";15;5;1;12
"2020-05-03";15;6;1;12
"2020-05-04";15;6;1;12
"2020-05-05";15;6;1;13
"2020-05-06";15;7;2;13
"2020-05-07";15;6;2;12
"2020-05-08";15;7;3;15
"2020-05-09";15;8;3;14
"2020-05-10";15;9;3;16
"2020-05-11";15;12;4;19
"2020-05-12";15;11;4;19
"2020-05-13";15;13;6;22
"2020-05-14";15;13;6;21
"2020-05-15";15;13;6;22
"2020-05-16";15;16;8;26
"2020-05-17";15;17;8;25
"2020-05-18";15;20;10;34
"2020-05-19";15;21;12;34
"2020-05-20";15;18;9;30
"2020-05-21";15;21;10;32
"2020-05-22";15;22;13;34
"2020-05-23";15;25;14;37
"2020-05-24";15;22;12;35
"2020-05-25";15;22;12;33
"2020-05-26";15;21;11;32
"2020-05-27";15;25;15;40
"2020-05-28";15;28;16;40
"2020-05-29";15;33;21;47
"2020-05-30";15;36;25;51
"2020-05-31";15;33;19;46
"2020-06-01";15;49;33;65
"2020-06-02";15;39;24;57
"2020-06-03";15;36;23;53
"2020-06-04";15;32;21;45
"2020-06-05";15;30;18;44
"2020-06-06";15;37;24;52
"2020-06-07";15;32;19;48
"2020-06-08";15;38;23;58
"2020-06-09";15;37;22;53
"2020-06-10";15;46;32;66
"2020-06-11";15;35;22;51
"2020-06-12";15;36;23;54
"2020-06-13";15;46;30;65
"2020-06-14";15;43;30;60
"2020-06-15";15;45;29;62
"2020-06-16";15;40;26;56
"2020-06-17";15;37;21;50
"2020-06-18";15;38;25;55
"2020-06-19";15;47;32;63
"2020-06-20";15;39;25;58
"2020-06-21";15;42;29;64
"2020-06-22";15;49;35;68
"2020-06-23";15;49;34;68
"2020-06-24";15;39;26;57
"2020-06-25";15;50;34;71
"2020-06-26";15;53;36;73
"2020-06-27";15;58;42;80
"2020-06-28";15;57;40;77
"2020-06-29";15;51;34;70
"2020-06-30";15;60;40;83
"2020-07-01";15;71;51;95
"2020-07-02";15;54;37;73
"2020-07-03";15;61;43;81
"2020-07-04";15;66;46;88
"2020-07-05";15;75;51;96
"2020-07-06";15;94;70;122
"2020-07-07";15;76;50;103
"2020-07-08";15;104;78;140
"2020-07-09";15;105;79;137
"2020-07-10";15;132;99;171
