codigo_comuna,comuna_residencia,fecha,positividad
05109,vina del mar,2020-03-02,NA
05706,santa maria,2020-03-02,NA
08301,los angeles,2020-03-02,NA
10101,puerto montt,2020-03-02,NA
11101,coyhaique,2020-03-02,NA
13111,la granja,2020-03-02,NA
13114,las condes,2020-03-02,NA
13115,lo barnechea,2020-03-02,NA
13121,pedro aguirre cerda,2020-03-02,NA
13132,vitacura,2020-03-02,NA
04101,la serena,2020-03-03,NA
04102,coquimbo,2020-03-03,NA
04301,ovalle,2020-03-03,NA
05101,valparaiso,2020-03-03,NA
05103,con con,2020-03-03,NA
05109,vina del mar,2020-03-03,NA
05303,rinconada,2020-03-03,NA
05405,zapallar,2020-03-03,NA
05601,san antonio,2020-03-03,NA
05801,quilpue,2020-03-03,NA
05804,villa alemana,2020-03-03,NA
07101,talca,2020-03-03,NA
07401,linares,2020-03-03,NA
08110,talcahuano,2020-03-03,NA
08301,los angeles,2020-03-03,NA
09211,victoria,2020-03-03,NA
13113,la reina,2020-03-03,NA
13115,lo barnechea,2020-03-03,NA
13130,san miguel,2020-03-03,NA
13132,vitacura,2020-03-03,NA
14101,valdivia,2020-03-03,NA
01107,alto hospicio,2020-03-04,NA
03101,copiapo,2020-03-04,NA
04102,coquimbo,2020-03-04,NA
04201,illapel,2020-03-04,NA
05101,valparaiso,2020-03-04,NA
05804,villa alemana,2020-03-04,NA
07101,talca,2020-03-04,NA
07105,maule,2020-03-04,NA
08101,concepcion,2020-03-04,NA
08102,coronel,2020-03-04,NA
08106,lota,2020-03-04,NA
08108,san pedro de la paz,2020-03-04,NA
08110,talcahuano,2020-03-04,NA
08301,los angeles,2020-03-04,NA
09101,temuco,2020-03-04,NA
09106,galvarino,2020-03-04,NA
10206,puqueldon,2020-03-04,NA
11101,coyhaique,2020-03-04,NA
13101,santiago,2020-03-04,NA
13103,cerro navia,2020-03-04,NA
13104,conchali,2020-03-04,NA
13105,el bosque,2020-03-04,NA
13107,huechuraba,2020-03-04,NA
13108,independencia,2020-03-04,NA
13109,la cisterna,2020-03-04,NA
13110,la florida,2020-03-04,NA
13113,la reina,2020-03-04,NA
13114,las condes,2020-03-04,NA
13116,lo espejo,2020-03-04,NA
13117,lo prado,2020-03-04,NA
13119,maipu,2020-03-04,NA
13120,nunoa,2020-03-04,NA
13121,pedro aguirre cerda,2020-03-04,NA
13123,providencia,2020-03-04,NA
13125,quilicura,2020-03-04,NA
13126,quinta normal,2020-03-04,NA
13127,recoleta,2020-03-04,NA
13130,san miguel,2020-03-04,NA
13301,colina,2020-03-04,NA
13302,lampa,2020-03-04,NA
16101,chillan,2020-03-04,NA
01101,iquique,2020-03-05,NA
01107,alto hospicio,2020-03-05,NA
02201,calama,2020-03-05,NA
04201,illapel,2020-03-05,NA
05101,valparaiso,2020-03-05,NA
05804,villa alemana,2020-03-05,NA
07101,talca,2020-03-05,NA
07301,curico,2020-03-05,NA
08101,concepcion,2020-03-05,NA
08301,los angeles,2020-03-05,NA
09101,temuco,2020-03-05,NA
11301,cochrane,2020-03-05,NA
13101,santiago,2020-03-05,NA
13114,las condes,2020-03-05,NA
13119,maipu,2020-03-05,NA
13123,providencia,2020-03-05,NA
16101,chillan,2020-03-05,NA
01101,iquique,2020-03-06,NA
02201,calama,2020-03-06,NA
06101,rancagua,2020-03-06,NA
07101,talca,2020-03-06,NA
07301,curico,2020-03-06,NA
07401,linares,2020-03-06,NA
08301,los angeles,2020-03-06,NA
13101,santiago,2020-03-06,NA
13114,las condes,2020-03-06,NA
13119,maipu,2020-03-06,NA
13201,puente alto,2020-03-06,NA
14101,valdivia,2020-03-06,NA
15101,arica,2020-03-06,NA
16101,chillan,2020-03-06,NA
01101,iquique,2020-03-07,NA
06101,rancagua,2020-03-07,NA
06106,graneros,2020-03-07,NA
07101,talca,2020-03-07,NA
07301,curico,2020-03-07,NA
07401,linares,2020-03-07,NA
07406,san javier,2020-03-07,NA
08101,concepcion,2020-03-07,NA
10101,puerto montt,2020-03-07,NA
12101,punta arenas,2020-03-07,NA
