fechas,Nacional,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,O’Higgins,Maule,Bíobío,Araucanía,Los Lagos,Aysén,Magallanes,Metropolitana,Los Ríos,Arica y Parinacota,Ñuble,"Nacional, ","SS IQUIQUE, Tarapacá","SS ANTOFAGASTA, Antofagasta","SS ATACAMA, Atacama","SS COQUIMBO, Coquimbo","SS ACONGAGUA, Valparaíso","SS VALPARAISO SAN ANTONIO, Valparaíso","SS VIÑA DEL MAR QUILLOTA, Valparaíso","SS LIBERTADOR B. O'HIGGINS, O’Higgins","SS DEL MAULE, Maule","SS ARAUCO, Bíobío","SS BÍO BÍO, Bíobío","SS CONCEPCIÓN, Bíobío","SS TALCAHUANO, Bíobío","SS ARAUCANÍA NORTE, Araucanía","SS ARAUCANÍA SUR, Araucanía","SS CHILOÉ, Los Lagos","SS DEL RELONCAVÍ, Los Lagos","SS OSORNO, Los Lagos","SS AISÉN, Aysén","SS MAGALLANES, Magallanes","SS METROPOLITANO CENTRAL, Metropolitana","SS METROPOLITANO NORTE, Metropolitana","SS METROPOLITANO OCCIDENTE, Metropolitana","SS METROPOLITANO ORIENTE, Metropolitana","SS METROPOLITANO SUR, Metropolitana","SS METROPOLITANO SUR ORIENTE, Metropolitana","SS VALDIVIA, Los Ríos","SS ARICA, Arica y Parinacota","SS ÑUBLE, Ñuble"
2020-04-12,64.78,50.0,58.7,50.0,58.62,37.5,66.67,56.86,NaN,70.16,88.51,75.38,72.5,77.08,59.9,28.57,44.44,64.78,50.0,58.7,50.0,58.62,37.5,88.24,62.73,61.67,56.86,0.0,64.29,78.85,74.19,38.46,88.61,87.5,86.21,78.57,25.0,72.5,77.08,47.4,65.08,52.63,76.67,87.01,60.87,28.57,44.44
2020-04-13,65.04,50.0,60.87,35.71,51.72,37.5,64.39,60.78,NaN,66.14,85.26,81.54,74.36,77.46,60.3,75.0,44.44,65.04,50.0,60.87,35.71,51.72,37.5,79.41,64.55,55.74,60.78,0.0,57.14,78.85,61.76,46.15,86.21,75.0,89.66,89.29,25.0,74.36,77.46,49.35,69.84,50.68,80.0,85.9,60.87,75.0,44.44
2020-04-15,65.42,42.86,71.11,50.0,58.62,31.25,66.18,62.75,NaN,59.06,70.11,80.0,61.54,80.28,62.96,91.67,51.85,65.42,42.86,71.11,50.0,58.62,31.25,84.85,64.55,59.02,62.75,0.0,57.14,63.46,58.82,46.15,68.35,87.5,75.86,96.43,37.5,61.54,80.28,52.6,76.19,53.92,72.13,92.11,60.87,91.67,51.85
2020-04-16,64.62,28.57,77.78,50.0,68.97,37.5,67.34,56.86,NaN,52.0,79.8,80.0,79.49,70.34,62.04,72.22,40.74,64.62,28.57,77.78,50.0,68.97,37.5,84.85,64.76,62.3,56.86,0.0,42.86,55.36,50.0,71.43,79.12,87.5,75.86,100.0,25.0,79.49,70.34,48.05,85.71,47.93,85.25,92.41,58.33,72.22,40.74
2020-04-18,63.43,35.71,76.09,42.86,61.11,43.75,61.9,52.94,NaN,54.33,67.82,76.12,82.05,78.62,61.12,66.67,51.85,63.43,35.71,76.09,42.86,61.11,43.75,87.88,65.45,43.28,52.94,0.0,42.86,55.36,61.76,55.56,65.82,87.5,89.66,80.0,12.5,82.05,78.62,51.95,78.12,45.16,73.77,93.18,69.57,66.67,51.85
2020-04-19,64.3,28.57,76.6,42.86,61.11,43.75,68.1,58.82,NaN,54.2,70.11,72.31,87.18,77.24,61.05,58.82,55.56,64.3,28.57,76.6,42.86,61.11,43.75,90.91,65.45,61.19,58.82,0.0,60.71,46.77,58.82,71.43,68.35,87.5,75.86,85.71,12.5,87.18,77.24,53.9,76.56,48.39,78.69,80.43,60.87,58.82,55.56
2020-04-21,64.27,42.86,66.1,50.0,61.11,46.67,65.2,56.86,NaN,50.38,69.89,72.31,84.62,80.0,63.13,45.45,55.56,64.27,42.86,66.1,50.0,61.11,46.67,87.88,61.54,59.7,56.86,0.0,39.29,50.0,55.88,71.43,68.24,87.5,79.31,82.14,12.5,84.62,80.0,57.79,68.75,47.51,80.33,93.33,69.57,45.45,55.56
2020-04-22,65.2,42.86,72.73,42.86,52.78,66.67,62.56,58.82,100.0,55.81,69.77,66.15,71.79,84.14,64.94,45.45,55.56,65.2,42.86,72.73,42.86,52.78,66.67,87.5,62.5,50.75,58.82,100.0,39.29,59.32,58.82,75.0,66.67,100.0,72.41,75.0,12.5,71.79,84.14,57.14,76.67,52.61,77.05,96.63,65.22,45.45,55.56
2020-04-23,65.59,35.71,77.59,50.0,44.44,106.67,61.08,62.75,NaN,53.49,78.31,62.5,74.29,82.76,64.55,63.64,55.56,65.59,35.71,77.59,50.0,44.44,106.67,96.88,54.81,53.73,62.75,0.0,67.86,49.15,50.0,50.0,77.33,87.5,71.43,67.86,12.5,74.29,82.76,56.49,80.0,50.22,85.25,94.44,47.83,63.64,55.56
2020-04-29,67.91,35.71,89.23,78.57,54.05,66.67,65.26,68.63,NaN,54.69,60.71,68.49,85.71,85.52,68.79,50.0,28.57,67.91,35.71,89.23,78.57,54.05,66.67,96.88,54.95,67.14,68.63,0.0,57.14,56.9,47.06,62.5,56.58,100.0,72.97,78.57,12.5,85.71,85.52,59.88,77.05,59.57,95.08,90.11,47.83,50.0,28.57
