fechas,VM fuera de UCI
2020-04-15,27.0
2020-04-16,54.0
2020-04-18,85.0
2020-04-19,86.0
2020-04-21,111.0
2020-04-22,64.0
2020-04-23,95.0
2020-04-29,56.0
2020-04-30,72.0
2020-05-01,65.0
2020-05-02,47.0
2020-05-03,79.0
2020-05-06,16.0
2020-05-07,-17.0
2020-05-08,-31.0
2020-05-09,20.0
2020-05-12,-19.0
2020-05-13,-17.0
2020-05-14,-43.0
2020-05-15,28.0
2020-05-16,3.0
2020-05-17,30.0
2020-05-18,18.0
2020-05-19,73.0
2020-05-20,110.0
2020-05-21,116.0
2020-05-23,164.0
2020-05-24,167.0
2020-05-25,149.0
2020-05-26,144.0
2020-05-27,143.0
2020-05-28,161.0
2020-05-29,188.0
2020-05-31,231.0
2020-06-01,284.0
2020-06-02,308.0
2020-06-03,292.0
2020-06-04,317.0
2020-06-05,309.0
2020-06-06,321.0
2020-06-07,331.0
2020-06-08,309.0
2020-06-09,377.0
2020-06-10,330.0
2020-06-11,252.0
2020-06-12,247.0
2020-06-13,297.0
2020-06-14,268.0
2020-06-15,279.0
2020-06-16,257.0
2020-06-17,258.0
2020-06-18,315.0
2020-06-19,278.0
2020-06-20,282.0
2020-06-21,305.0
2020-06-22,316.0
2020-06-23,314.0
2020-06-24,302.0
2020-06-25,306.0
2020-06-26,291.0
2020-06-27,323.0
2020-06-28,322.0
2020-06-29,314.0
2020-06-30,324.0
2020-07-01,339.0
2020-07-02,365.0
2020-07-04,364.0
2020-07-05,373.0
2020-07-06,354.0
2020-07-08,375.0
2020-07-09,421.0
2020-07-10,398.0
2020-07-11,347.0
2020-07-12,321.0
2020-07-13,345.0
2020-07-14,354.0
